@RELATION house
@ATTRIBUTE size NUMERIC
@ATTRIBUTE land NUMERIC
@ATTRIBUTE rooms NUMERIC
@ATTRIBUTE granite NUMERIC
@ATTRIBUTE extra_bathroom NUMERIC
@ATTRIBUTE price NUMERIC

@DATA 
1076,2801,6,0,0,324
990,3067,5,1,0,466
1229,3094,5,0,1,425
731,4315,4,1,0,387
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
1076,2801,6,0,0,324
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383
671,2926,4,0,0,312
1078,6094,6,1,0,603
909,2854,5,0,0,383

909,2854,5,0,0,383
